# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.max,1787815172716000000,1787815232778000000,2
FilePageCache.pageLoads,1787815172716000000,1787815232778000000,265
FilePageCache.maxCacheSizeInBytes,1787815172716000000,1787815232778000000,266477568
FilePageCache.capacityInBytes,1787815172716000000,1787815232778000000,524288000
FilePageCache.totalPageLoadsUs,1787815172716000000,1787815232778000000,432579
DirectByteBufferAllocator.disposed,1787815172716000000,1787815232778000000,0
StreamlinedBlobStorage.recordsRelocated,1787815172716000000,1787815232778000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1787815172716000000,1787815232778000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787815172716000000,1787815232778000000,0
FilePageCache.pageHits,1787815172716000000,1787815232778000000,4
FilePageCache.maxRegisteredFiles,1787815172716000000,1787815232778000000,617
FilePageCache.disposedBuffers,1787815172716000000,1787815232778000000,3
StreamlinedBlobStorage.recordsAllocated,1787815172716000000,1787815232778000000,11136
FilePageCache.pageFastCacheHits,1787815172716000000,1787815232778000000,34841
FilePageCache.uncachedFileAccess,1787815172716000000,1787815232778000000,135
StorageLockContext.competingThreads.avg,1787815172716000000,1787815232778000000,0.02654867256637168
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787815172716000000,1787815232778000000,266477568
StorageLockContext.competingThreads.90P,1787815172716000000,1787815232778000000,0
FilePageCache.totalPageDisposalsUs,1787815172716000000,1787815232778000000,6897
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1787815172716000000,1787815232778000000,325420
DirectByteBufferAllocator.reclaimed,1787815172716000000,1787815232778000000,3
DirectByteBufferAllocator.misses,1787815172716000000,1787815232778000000,262
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1787815172716000000,1787815232778000000,802590
StreamlinedBlobStorage.recordsDeleted,1787815172716000000,1787815232778000000,33
DirectByteBufferAllocator.hits,1787815172716000000,1787815232778000000,3
JVM.maxHeapBytes,1787815172716000000,1787815232778000000,2147483648
OS.loadAverage,1787815172716000000,1787815232778000000,4.67919921875
JVM.threadCount,1787815172716000000,1787815232778000000,142
JVM.usedNativeBytes,1787815172716000000,1787815232778000000,363882656
JVM.GC.collectionTimesMs,1787815172716000000,1787815232778000000,347
JVM.maxNativeBytes,1787815172716000000,1787815232778000000,-1
JVM.usedHeapBytes,1787815172716000000,1787815232778000000,266393584
JVM.GC.collections,1787815172716000000,1787815232778000000,46
