# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1787737133669000000,1787737193713000000,1619001343
FlushQueue.queueSizeMax,1787737133669000000,1787737193713000000,163
FlushQueue.tasksExecuted,1787737133669000000,1787737193713000000,1683
FlushQueue.executionTime90PNs,1787737133669000000,1787737193713000000,7471103
FlushQueue.waitingTimeAvgNs,1787737133669000000,1787737193713000000,8.388001456589423E8
AWTEventQueue.dispatchTimeAvgNs,1787737133669000000,1787737193713000000,8127833.919523099
AWTEventQueue.dispatchTimeTotalNS,1787737133669000000,1787737193713000000,27279796285
AWTEventQueue.dispatchTime90PNs,1787737133669000000,1787737193713000000,10485759
FlushQueue.queueSizeAvg,1787737133669000000,1787737193713000000,41.47653000594177
NonBlockingReadAction.finalizedExecutionTimeUs,1787737133669000000,1787737193713000000,3789255
FlushQueue.queueSize90P,1787737133669000000,1787737193713000000,114
FlushQueue.executionTimeAvgNs,1787737133669000000,1787737193713000000,7249896.096850862
FlushQueue.executionTimeMaxNs,1787737133669000000,1787737193713000000,1375731711
NonBlockingReadAction.finalizedExecutionsCount,1787737133669000000,1787737193713000000,72
FlushQueue.waitingTimeMaxNs,1787737133669000000,1787737193713000000,5301600255
FlushQueue.waitingTime90PNs,1787737133669000000,1787737193713000000,2566914047
NonBlockingReadAction.failedExecutionsCount,1787737133669000000,1787737193713000000,3
NonBlockingReadAction.failedExecutionTimeUs,1787737133669000000,1787737193713000000,56120
AWTEventQueue.eventsDispatched,1787737133669000000,1787737193713000000,3355
Indexes.allKeys.lookups,1787737133669000000,1787737193713000000,0.0
IndexesFlusher.totalFlushesRetried,1787737133669000000,1787737193713000000,3
VFSFlusher.totalFlushesRetried,1787737133669000000,1787737193713000000,0
Indexes.stubs.lookupDurationMaxMs,1787737133669000000,1787737193713000000,39.0
VFSFlusher.totalFlushes,1787737133669000000,1787737193713000000,2
Indexes.entries.lookupDurationMaxMs,1787737133669000000,1787737193713000000,40.0
IndexesFlusher.totalFlushes,1787737133669000000,1787737193713000000,152
Indexes.allKeys.lookupDurationAvgMs,1787737133669000000,1787737193713000000,0.0
Indexes.stubs.lookups,1787737133669000000,1787737193713000000,48.0
VFSFlusher.totalFlushingTimeUs,1787737133669000000,1787737193713000000,14201
IndexesFlusher.totalFlushingTimeUs,1787737133669000000,1787737193713000000,2399922
Indexes.entries.lookupDuration90PMs,1787737133669000000,1787737193713000000,12.0
Indexes.allKeys.lookupDuration90PMs,1787737133669000000,1787737193713000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1787737133669000000,1787737193713000000,129
Indexes.stubs.lookupDuration90PMs,1787737133669000000,1787737193713000000,13.0
Indexes.stubs.lookupDurationAvgMs,1787737133669000000,1787737193713000000,4.520833333333333
Indexes.entries.lookupDurationAvgMs,1787737133669000000,1787737193713000000,3.3703703703703702
VFSFlusher.totalContentionQuotaSpent,1787737133669000000,1787737193713000000,0
Indexes.entries.lookups,1787737133669000000,1787737193713000000,54.0
Indexes.allKeys.lookupDurationMaxMs,1787737133669000000,1787737193713000000,0.0
workspaceModel.initializing.ms,1787737133669000000,1787737193713000000,1
workspaceModel.updates.count,1787737133669000000,1787737193713000000,5
workspaceModel.update.unloaded.entities.ms,1787737133669000000,1787737193713000000,0
workspaceModel.updates.ms,1787737133669000000,1787737193713000000,109
workspaceModel.init.bridges.ms,1787737133669000000,1787737193713000000,1
workspaceModel.loading.from.cache.ms,1787737133669000000,1787737193713000000,247
workspaceModel.replace.project.model.ms,1787737133669000000,1787737193713000000,0
workspaceModel.check.recursive.update.ms,1787737133669000000,1787737193713000000,0
workspaceModel.pre.handlers.ms,1787737133669000000,1787737193713000000,1
workspaceModel.collect.changes.ms,1787737133669000000,1787737193713000000,0
workspaceModel.to.snapshot.ms,1787737133669000000,1787737193713000000,7
workspaceModel.updates.precise.ms,1787737133669000000,1787737193713000000,53
workspaceModel.loading.total.ms,1787737133669000000,1787737193713000000,276
FileNameCache.queries,1787737133669000000,1787737193713000000,332259
FileNameCache.fastMisses,1787737133669000000,1787737193713000000,19739
FileNameCache.totalMisses,1787737133669000000,1787737193713000000,7636
JVM.totalCpuTimeMs,1787737133669000000,1787737193713000000,89870
JVM.GC.collections,1787737133669000000,1787737193713000000,31
JVM.maxHeapBytes,1787737133669000000,1787737193713000000,2147483648
JVM.maxNativeBytes,1787737133669000000,1787737193713000000,-1
OS.loadAverage,1787737133669000000,1787737193713000000,5.4091796875
JVM.usedNativeBytes,1787737133669000000,1787737193713000000,353823664
JVM.threadCount,1787737133669000000,1787737193713000000,136
