# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalCpuTimeMs,1787813131324000000,1787813191361000000,109284
JVM.GC.collectionTimesMs,1787813131324000000,1787813191361000000,402
JVM.GC.collections,1787813131324000000,1787813191361000000,33
JVM.maxHeapBytes,1787813131324000000,1787813191361000000,2147483648
JVM.usedHeapBytes,1787813131324000000,1787813191361000000,299213288
JVM.maxNativeBytes,1787813131324000000,1787813191361000000,-1
JVM.usedNativeBytes,1787813131324000000,1787813191361000000,362320800
JVM.threadCount,1787813131324000000,1787813191361000000,138
OS.loadAverage,1787813131324000000,1787813191361000000,6.166015625
IndexesFlusher.totalFlushes,1787813131324000000,1787813191361000000,149
IndexesFlusher.totalFlushesRetried,1787813131324000000,1787813191361000000,5
Indexes.allKeys.lookupDurationMaxMs,1787813131324000000,1787813191361000000,0.0
Indexes.allKeys.lookups,1787813131324000000,1787813191361000000,0.0
VFSFlusher.totalContentionQuotaSpent,1787813131324000000,1787813191361000000,0
Indexes.stubs.lookupDurationMaxMs,1787813131324000000,1787813191361000000,159.0
Indexes.stubs.lookupDurationAvgMs,1787813131324000000,1787813191361000000,18.475
VFSFlusher.totalFlushesRetried,1787813131324000000,1787813191361000000,0
IndexesFlusher.totalContentionQuotaSpent,1787813131324000000,1787813191361000000,261
Indexes.stubs.lookups,1787813131324000000,1787813191361000000,40.0
Indexes.entries.lookups,1787813131324000000,1787813191361000000,51.0
VFSFlusher.totalFlushes,1787813131324000000,1787813191361000000,4
Indexes.allKeys.lookupDurationAvgMs,1787813131324000000,1787813191361000000,0.0
IndexesFlusher.totalFlushingTimeUs,1787813131324000000,1787813191361000000,3256338
Indexes.entries.lookupDurationAvgMs,1787813131324000000,1787813191361000000,7.2745098039215685
VFSFlusher.totalFlushingTimeUs,1787813131324000000,1787813191361000000,48124
Indexes.allKeys.lookupDuration90PMs,1787813131324000000,1787813191361000000,0.0
Indexes.stubs.lookupDuration90PMs,1787813131324000000,1787813191361000000,27.0
Indexes.entries.lookupDurationMaxMs,1787813131324000000,1787813191361000000,138.0
Indexes.entries.lookupDuration90PMs,1787813131324000000,1787813191361000000,8.0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1787813131324000000,1787813191361000000,5
workspaceModel.save.cache.to.file.ms,1787813131324000000,1787813191361000000,1983
jps.global.handle.changed.events.ms,1787813131324000000,1787813191361000000,0
jps.project.serializers.load.ms,1787813131324000000,1787813191361000000,331
jps.module.iml.entities.serializer.save.entities.ms,1787813131324000000,1787813191361000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1787813131324000000,1787813191361000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1787813131324000000,1787813191361000000,0
workspaceModel.orphan.listener.update.ms,1787813131324000000,1787813191361000000,14
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1787813131324000000,1787813191361000000,0
jps.storage.jps.conf.reader.load.component.ms,1787813131324000000,1787813191361000000,306
jps.global.get.library.by.name.ms,1787813131324000000,1787813191361000000,0
jps.global.handle.before.change.events.ms,1787813131324000000,1787813191361000000,0
jps.load.project.to.empty.storage.ms,1787813131324000000,1787813191361000000,394
workspaceModel.moduleManagerBridge.get.modules.ms,1787813131324000000,1787813191361000000,7
jps.app.storage.content.reader.load.component.ms,1787813131324000000,1787813191361000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1787813131324000000,1787813191361000000,6
jps.apply.loaded.storage.ms,1787813131324000000,1787813191361000000,1235
workspaceModel.mutableEntityStorage.replace.by.source.ms,1787813131324000000,1787813191361000000,219
workspaceModel.mutableEntityStorage.modify.entity.ms,1787813131324000000,1787813191361000000,140
workspaceModel.mutableEntityStorage.add.entity.ms,1787813131324000000,1787813191361000000,424
workspaceModel.mutableEntityStorage.referrers.ms,1787813131324000000,1787813191361000000,0
workspaceModel.mutableEntityStorage.entities.ms,1787813131324000000,1787813191361000000,8
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1787813131324000000,1787813191361000000,24
jps.library.entities.serializer.load.entities.ms,1787813131324000000,1787813191361000000,245
workspaceModel.moduleBridge.before.changed.ms,1787813131324000000,1787813191361000000,0
jps.save.changed.project.entities.ms,1787813131324000000,1787813191361000000,1
jps.module.iml.entities.serializer.load.entities.ms,1787813131324000000,1787813191361000000,246
workspaceModel.mutableEntityStorage.to.snapshot.ms,1787813131324000000,1787813191361000000,9
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1787813131324000000,1787813191361000000,0
jps.save.global.entities.ms,1787813131324000000,1787813191361000000,8
workspaceModel.sync.entities.ms,1787813131324000000,1787813191361000000,0
jps.global.get.libraries.ms,1787813131324000000,1787813191361000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1787813131324000000,1787813191361000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1787813131324000000,1787813191361000000,1
workspaceModel.moduleBridge.update.option.ms,1787813131324000000,1787813191361000000,0
jps.project.serializers.save.ms,1787813131324000000,1787813191361000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1787813131324000000,1787813191361000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1787813131324000000,1787813191361000000,0
jps.reload.project.entities.ms,1787813131324000000,1787813191361000000,0
workspaceModel.global.apply.state.to.project.ms,1787813131324000000,1787813191361000000,43
workspaceModel.moduleManagerBridge.load.all.modules.ms,1787813131324000000,1787813191361000000,377
jps.artifact.entities.serializer.load.entities.ms,1787813131324000000,1787813191361000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1787813131324000000,1787813191361000000,0
jps.app.storage.content.writer.save.component.ms,1787813131324000000,1787813191361000000,0
workspaceModel.load.cache.from.file.ms,1787813131324000000,1787813191361000000,295
jps.artifact.entities.serializer.save.entities.ms,1787813131324000000,1787813191361000000,0
jps.load.initial.state.ms,1787813131324000000,1787813191361000000,13
workspaceModel.global.updates.ms,1787813131324000000,1787813191361000000,0
