# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.usedNativeBytes,1787734167311000000,1787734227351000000,351277328
JVM.GC.collections,1787734167311000000,1787734227351000000,34
JVM.GC.collectionTimesMs,1787734167311000000,1787734227351000000,223
JVM.totalCpuTimeMs,1787734167311000000,1787734227351000000,91302
JVM.maxHeapBytes,1787734167311000000,1787734227351000000,2147483648
JVM.usedHeapBytes,1787734167311000000,1787734227351000000,495012152
OS.loadAverage,1787734167311000000,1787734227351000000,6.4599609375
JVM.threadCount,1787734167311000000,1787734227351000000,134
JVM.maxNativeBytes,1787734167311000000,1787734227351000000,-1
DirectByteBufferAllocator.hits,1787734167311000000,1787734227351000000,3
FilePageCache.maxRegisteredFiles,1787734167311000000,1787734227351000000,617
FilePageCache.pageFastCacheHits,1787734167311000000,1787734227351000000,34254
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1787734167311000000,1787734227351000000,325510
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787734167311000000,1787734227351000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1787734167311000000,1787734227351000000,0
StorageLockContext.competingThreads.max,1787734167311000000,1787734227351000000,0
FilePageCache.pageLoads,1787734167311000000,1787734227351000000,256
StorageLockContext.competingThreads.avg,1787734167311000000,1787734227351000000,0.0
StorageLockContext.competingThreads.90P,1787734167311000000,1787734227351000000,0
FilePageCache.capacityInBytes,1787734167311000000,1787734227351000000,524288000
StreamlinedBlobStorage.recordsRelocated,1787734167311000000,1787734227351000000,0
DirectByteBufferAllocator.disposed,1787734167311000000,1787734227351000000,0
FilePageCache.totalPageLoadsUs,1787734167311000000,1787734227351000000,392091
StreamlinedBlobStorage.recordsAllocated,1787734167311000000,1787734227351000000,11136
DirectByteBufferAllocator.reclaimed,1787734167311000000,1787734227351000000,3
DirectByteBufferAllocator.misses,1787734167311000000,1787734227351000000,253
FilePageCache.pageHits,1787734167311000000,1787734227351000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787734167311000000,1787734227351000000,266403840
StreamlinedBlobStorage.recordsDeleted,1787734167311000000,1787734227351000000,31
FilePageCache.disposedBuffers,1787734167311000000,1787734227351000000,3
FilePageCache.uncachedFileAccess,1787734167311000000,1787734227351000000,137
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1787734167311000000,1787734227351000000,802730
FilePageCache.maxCacheSizeInBytes,1787734167311000000,1787734227351000000,266403840
FilePageCache.totalPageDisposalsUs,1787734167311000000,1787734227351000000,15742
workspaceModel.mutableEntityStorage.entities.ms,1787734167311000000,1787734227351000000,1
jps.app.storage.content.reader.load.component.ms,1787734167311000000,1787734227351000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1787734167311000000,1787734227351000000,7
jps.module.iml.entities.serializer.load.entities.ms,1787734167311000000,1787734227351000000,203
jps.global.get.library.by.name.ms,1787734167311000000,1787734227351000000,0
jps.global.get.libraries.ms,1787734167311000000,1787734227351000000,3
workspaceModel.moduleManagerBridge.load.all.modules.ms,1787734167311000000,1787734227351000000,100
jps.artifact.entities.serializer.save.entities.ms,1787734167311000000,1787734227351000000,0
jps.load.project.to.empty.storage.ms,1787734167311000000,1787734227351000000,328
jps.artifact.entities.serializer.load.entities.ms,1787734167311000000,1787734227351000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1787734167311000000,1787734227351000000,2562
workspaceModel.mutableEntityStorage.add.diff.ms,1787734167311000000,1787734227351000000,68
workspaceModel.mutableEntityStorage.resolve.ms,1787734167311000000,1787734227351000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1787734167311000000,1787734227351000000,0
jps.global.initialize.library.bridges.ms,1787734167311000000,1787734227351000000,0
jps.load.initial.state.ms,1787734167311000000,1787734227351000000,10
jps.project.serializers.load.ms,1787734167311000000,1787734227351000000,212
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1787734167311000000,1787734227351000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1787734167311000000,1787734227351000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1787734167311000000,1787734227351000000,230
jps.reload.project.entities.ms,1787734167311000000,1787734227351000000,0
jps.facet.change.listener.before.change.events.ms,1787734167311000000,1787734227351000000,1
workspaceModel.load.cache.from.file.ms,1787734167311000000,1787734227351000000,461
jps.global.handle.before.change.events.ms,1787734167311000000,1787734227351000000,0
jps.library.entities.serializer.save.entities.ms,1787734167311000000,1787734227351000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1787734167311000000,1787734227351000000,0
workspaceModel.global.updates.count,1787734167311000000,1787734227351000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1787734167311000000,1787734227351000000,943
workspaceModel.global.apply.state.to.project.ms,1787734167311000000,1787734227351000000,54
jps.apply.loaded.storage.ms,1787734167311000000,1787734227351000000,2203
workspaceModel.moduleManagerBridge.load.module.ms,1787734167311000000,1787734227351000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1787734167311000000,1787734227351000000,0
workspaceModel.orphan.listener.update.ms,1787734167311000000,1787734227351000000,12
workspaceModel.moduleManagerBridge.newModule.ms,1787734167311000000,1787734227351000000,0
jps.project.serializers.save.ms,1787734167311000000,1787734227351000000,1
workspaceModel.moduleBridge.update.option.ms,1787734167311000000,1787734227351000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1787734167311000000,1787734227351000000,63
workspaceModel.mutableEntityStorage.referrers.ms,1787734167311000000,1787734227351000000,0
jps.save.global.entities.ms,1787734167311000000,1787734227351000000,57
workspaceModel.global.updates.ms,1787734167311000000,1787734227351000000,0
