# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxHeapBytes,1787737558429000000,1787737618459000000,2147483648
JVM.usedHeapBytes,1787737558429000000,1787737618459000000,325724560
OS.loadAverage,1787737558429000000,1787737618459000000,4.5078125
JVM.threadCount,1787737558429000000,1787737618459000000,134
JVM.usedNativeBytes,1787737558429000000,1787737618459000000,354943904
JVM.totalCpuTimeMs,1787737558429000000,1787737618459000000,97494
JVM.maxNativeBytes,1787737558429000000,1787737618459000000,-1
JVM.GC.collectionTimesMs,1787737558429000000,1787737618459000000,204
JVM.GC.collections,1787737558429000000,1787737618459000000,46
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1787737558429000000,1787737618459000000,325465
DirectByteBufferAllocator.hits,1787737558429000000,1787737618459000000,3
FilePageCache.maxCacheSizeInBytes,1787737558429000000,1787737618459000000,266485760
FilePageCache.totalPageDisposalsUs,1787737558429000000,1787737618459000000,10746
FilePageCache.pageFastCacheHits,1787737558429000000,1787737618459000000,34355
DirectByteBufferAllocator.reclaimed,1787737558429000000,1787737618459000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787737558429000000,1787737618459000000,0
StreamlinedBlobStorage.recordsDeleted,1787737558429000000,1787737618459000000,32
DirectByteBufferAllocator.disposed,1787737558429000000,1787737618459000000,0
StreamlinedBlobStorage.recordsRelocated,1787737558429000000,1787737618459000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787737558429000000,1787737618459000000,266485760
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1787737558429000000,1787737618459000000,802660
FilePageCache.maxRegisteredFiles,1787737558429000000,1787737618459000000,617
FilePageCache.pageHits,1787737558429000000,1787737618459000000,7
DirectByteBufferAllocator.misses,1787737558429000000,1787737618459000000,263
FilePageCache.totalPageLoadsUs,1787737558429000000,1787737618459000000,356069
StorageLockContext.competingThreads.90P,1787737558429000000,1787737618459000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1787737558429000000,1787737618459000000,0
FilePageCache.disposedBuffers,1787737558429000000,1787737618459000000,3
StorageLockContext.competingThreads.avg,1787737558429000000,1787737618459000000,0.0
FilePageCache.pageLoads,1787737558429000000,1787737618459000000,266
StreamlinedBlobStorage.recordsAllocated,1787737558429000000,1787737618459000000,11136
