# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1787299211720000000,1787299271750000000,257241
DirectByteBufferAllocator.reclaimed,1787299211720000000,1787299271750000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1787299211720000000,1787299271750000000,0
FilePageCache.maxRegisteredFiles,1787299211720000000,1787299271750000000,614
DirectByteBufferAllocator.disposed,1787299211720000000,1787299271750000000,0
FilePageCache.maxCacheSizeInBytes,1787299211720000000,1787299271750000000,244350976
FilePageCache.totalPageDisposalsUs,1787299211720000000,1787299271750000000,8269
DirectByteBufferAllocator.hits,1787299211720000000,1787299271750000000,3
FilePageCache.capacityInBytes,1787299211720000000,1787299271750000000,524288000
StorageLockContext.competingThreads.max,1787299211720000000,1787299271750000000,0
FilePageCache.pageHits,1787299211720000000,1787299271750000000,0
FilePageCache.uncachedFileAccess,1787299211720000000,1787299271750000000,122
StreamlinedBlobStorage.recordsAllocated,1787299211720000000,1787299271750000000,7221
StorageLockContext.competingThreads.avg,1787299211720000000,1787299271750000000,0.0
FilePageCache.disposedBuffers,1787299211720000000,1787299271750000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787299211720000000,1787299271750000000,244350976
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787299211720000000,1787299271750000000,0
FilePageCache.pageLoads,1787299211720000000,1787299271750000000,231
FilePageCache.totalPageLoadsUs,1787299211720000000,1787299271750000000,384821
DirectByteBufferAllocator.misses,1787299211720000000,1787299271750000000,228
StorageLockContext.competingThreads.90P,1787299211720000000,1787299271750000000,0
StreamlinedBlobStorage.recordsRelocated,1787299211720000000,1787299271750000000,0
FilePageCache.pageFastCacheHits,1787299211720000000,1787299271750000000,4548
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1787299211720000000,1787299271750000000,528808
StreamlinedBlobStorage.recordsDeleted,1787299211720000000,1787299271750000000,19
workspaceModel.update.unloaded.entities.ms,1787299211720000000,1787299271750000000,0
workspaceModel.check.recursive.update.ms,1787299211720000000,1787299271750000000,0
workspaceModel.init.bridges.ms,1787299211720000000,1787299271750000000,0
workspaceModel.initializing.ms,1787299211720000000,1787299271750000000,0
workspaceModel.replace.project.model.ms,1787299211720000000,1787299271750000000,0
