# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.threadCount,1787739015720000000,1787739075749000000,138
JVM.maxNativeBytes,1787739015720000000,1787739075749000000,-1
JVM.GC.collections,1787739015720000000,1787739075749000000,37
JVM.usedNativeBytes,1787739015720000000,1787739075749000000,356374072
JVM.GC.collectionTimesMs,1787739015720000000,1787739075749000000,231
JVM.totalCpuTimeMs,1787739015720000000,1787739075749000000,90812
JVM.usedHeapBytes,1787739015720000000,1787739075749000000,208900840
OS.loadAverage,1787739015720000000,1787739075749000000,5.146484375
JVM.maxHeapBytes,1787739015720000000,1787739075749000000,2147483648
FileNameCache.fastMisses,1787739015720000000,1787739075749000000,20247
FileNameCache.queries,1787739015720000000,1787739075749000000,338759
FileNameCache.totalMisses,1787739015720000000,1787739075749000000,7649
workspaceModel.collect.changes.ms,1787739015720000000,1787739075749000000,0
workspaceModel.updates.precise.ms,1787739015720000000,1787739075749000000,55
workspaceModel.check.recursive.update.ms,1787739015720000000,1787739075749000000,1
workspaceModel.updates.ms,1787739015720000000,1787739075749000000,102
workspaceModel.pre.handlers.ms,1787739015720000000,1787739075749000000,1
workspaceModel.to.snapshot.ms,1787739015720000000,1787739075749000000,3
workspaceModel.update.unloaded.entities.ms,1787739015720000000,1787739075749000000,0
workspaceModel.initializing.ms,1787739015720000000,1787739075749000000,1
workspaceModel.loading.total.ms,1787739015720000000,1787739075749000000,262
workspaceModel.loading.from.cache.ms,1787739015720000000,1787739075749000000,246
workspaceModel.replace.project.model.ms,1787739015720000000,1787739075749000000,0
workspaceModel.init.bridges.ms,1787739015720000000,1787739075749000000,1
workspaceModel.updates.count,1787739015720000000,1787739075749000000,5
Indexes.allKeys.lookupDurationAvgMs,1787739015720000000,1787739075749000000,0.0
Indexes.entries.lookupDurationAvgMs,1787739015720000000,1787739075749000000,4.538461538461538
Indexes.entries.lookups,1787739015720000000,1787739075749000000,52.0
Indexes.allKeys.lookupDurationMaxMs,1787739015720000000,1787739075749000000,0.0
Indexes.stubs.lookups,1787739015720000000,1787739075749000000,46.0
Indexes.stubs.lookupDurationAvgMs,1787739015720000000,1787739075749000000,10.891304347826088
VFSFlusher.totalContentionQuotaSpent,1787739015720000000,1787739075749000000,0
IndexesFlusher.totalFlushesRetried,1787739015720000000,1787739075749000000,2
Indexes.stubs.lookupDuration90PMs,1787739015720000000,1787739075749000000,17.0
Indexes.allKeys.lookupDuration90PMs,1787739015720000000,1787739075749000000,0.0
Indexes.entries.lookupDuration90PMs,1787739015720000000,1787739075749000000,16.0
Indexes.entries.lookupDurationMaxMs,1787739015720000000,1787739075749000000,46.0
Indexes.allKeys.lookups,1787739015720000000,1787739075749000000,0.0
VFSFlusher.totalFlushes,1787739015720000000,1787739075749000000,3
IndexesFlusher.totalFlushes,1787739015720000000,1787739075749000000,156
IndexesFlusher.totalContentionQuotaSpent,1787739015720000000,1787739075749000000,57
Indexes.stubs.lookupDurationMaxMs,1787739015720000000,1787739075749000000,106.0
VFSFlusher.totalFlushesRetried,1787739015720000000,1787739075749000000,0
IndexesFlusher.totalFlushingTimeUs,1787739015720000000,1787739075749000000,2412610
VFSFlusher.totalFlushingTimeUs,1787739015720000000,1787739075749000000,27581
workspaceModel.mutableEntityStorage.remove.entity.ms,1787739015720000000,1787739075749000000,0
jps.apply.loaded.storage.ms,1787739015720000000,1787739075749000000,1611
jps.artifact.entities.serializer.save.entities.ms,1787739015720000000,1787739075749000000,0
jps.global.handle.before.change.events.ms,1787739015720000000,1787739075749000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1787739015720000000,1787739075749000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1787739015720000000,1787739075749000000,42
workspaceModel.mutableEntityStorage.to.snapshot.ms,1787739015720000000,1787739075749000000,4
workspaceModel.moduleManagerBridge.load.all.modules.ms,1787739015720000000,1787739075749000000,135
workspaceModel.moduleBridge.update.option.ms,1787739015720000000,1787739075749000000,0
jps.load.project.to.empty.storage.ms,1787739015720000000,1787739075749000000,455
workspaceModel.global.updates.ms,1787739015720000000,1787739075749000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1787739015720000000,1787739075749000000,1056
jps.global.handle.changed.events.ms,1787739015720000000,1787739075749000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1787739015720000000,1787739075749000000,24
jps.project.serializers.load.ms,1787739015720000000,1787739075749000000,281
jps.save.global.entities.ms,1787739015720000000,1787739075749000000,0
jps.global.get.library.by.name.ms,1787739015720000000,1787739075749000000,0
jps.global.get.library.ms,1787739015720000000,1787739075749000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1787739015720000000,1787739075749000000,2
workspaceModel.mutableEntityStorage.resolve.ms,1787739015720000000,1787739075749000000,1
jps.facet.change.listener.init.bridge.ms,1787739015720000000,1787739075749000000,0
jps.load.initial.state.ms,1787739015720000000,1787739075749000000,9
workspaceModel.orphan.listener.update.ms,1787739015720000000,1787739075749000000,5
jps.library.entities.serializer.save.entities.ms,1787739015720000000,1787739075749000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1787739015720000000,1787739075749000000,332
jps.app.storage.content.reader.load.component.ms,1787739015720000000,1787739075749000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1787739015720000000,1787739075749000000,0
jps.reload.project.entities.ms,1787739015720000000,1787739075749000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1787739015720000000,1787739075749000000,3
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1787739015720000000,1787739075749000000,0
jps.library.entities.serializer.load.entities.ms,1787739015720000000,1787739075749000000,365
workspaceModel.global.apply.state.to.project.ms,1787739015720000000,1787739075749000000,42
jps.global.initialize.library.bridges.ms,1787739015720000000,1787739075749000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1787739015720000000,1787739075749000000,2
workspaceModel.sync.entities.ms,1787739015720000000,1787739075749000000,0
jps.artifact.entities.serializer.load.entities.ms,1787739015720000000,1787739075749000000,0
jps.global.get.libraries.ms,1787739015720000000,1787739075749000000,3
workspaceModel.moduleManagerBridge.build.module.graph.ms,1787739015720000000,1787739075749000000,1
jps.module.iml.entities.serializer.load.entities.ms,1787739015720000000,1787739075749000000,285
jps.save.changed.project.entities.ms,1787739015720000000,1787739075749000000,0
jps.facet.change.listener.before.change.events.ms,1787739015720000000,1787739075749000000,1
workspaceModel.load.cache.from.file.ms,1787739015720000000,1787739075749000000,242
workspaceModel.mutableEntityStorage.add.diff.ms,1787739015720000000,1787739075749000000,67
jps.storage.jps.conf.reader.load.component.ms,1787739015720000000,1787739075749000000,398
workspaceModel.moduleManagerBridge.newModule.ms,1787739015720000000,1787739075749000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1787739015720000000,1787739075749000000,3
jps.facet.change.listener.process.change.events.ms,1787739015720000000,1787739075749000000,0
jps.global.initialize.library.bridges.after.loading.ms,1787739015720000000,1787739075749000000,0
workspaceModel.moduleBridge.before.changed.ms,1787739015720000000,1787739075749000000,0
workspaceModel.save.cache.to.file.ms,1787739015720000000,1787739075749000000,419
workspaceModel.mutableEntityStorage.entities.ms,1787739015720000000,1787739075749000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1787739015720000000,1787739075749000000,2074
workspaceModel.moduleManagerBridge.load.module.ms,1787739015720000000,1787739075749000000,0
jps.module.iml.entities.serializer.save.entities.ms,1787739015720000000,1787739075749000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1787739015720000000,1787739075749000000,107
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1787739015720000000,1787739075749000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1787739015720000000,1787739075749000000,0
jps.project.serializers.save.ms,1787739015720000000,1787739075749000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1787739015720000000,1787739075749000000,0
workspaceModel.global.updates.count,1787739015720000000,1787739075749000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1787739015720000000,1787739075749000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1787739015720000000,1787739075749000000,0
FlushQueue.executionTimeMaxNs,1787739015720000000,1787739075749000000,1224736767
AWTEventQueue.eventsDispatched,1787739015720000000,1787739075749000000,4256
FlushQueue.queueSizeMax,1787739015720000000,1787739075749000000,145
FlushQueue.tasksExecuted,1787739015720000000,1787739075749000000,1965
FlushQueue.waitingTime90PNs,1787739015720000000,1787739075749000000,2483027967
NonBlockingReadAction.failedExecutionTimeUs,1787739015720000000,1787739075749000000,75477
NonBlockingReadAction.finalizedExecutionTimeUs,1787739015720000000,1787739075749000000,2589024
FlushQueue.executionTimeAvgNs,1787739015720000000,1787739075749000000,6038558.905852417
FlushQueue.waitingTimeMaxNs,1787739015720000000,1787739075749000000,5368709119
FlushQueue.waitingTimeAvgNs,1787739015720000000,1787739075749000000,6.47008198005089E8
AWTEventQueue.dispatchTimeTotalNS,1787739015720000000,1787739075749000000,28075498985
FlushQueue.executionTime90PNs,1787739015720000000,1787739075749000000,7012351
AWTEventQueue.dispatchTimeAvgNs,1787739015720000000,1787739075749000000,6591809.887218045
FlushQueue.queueSizeAvg,1787739015720000000,1787739075749000000,28.218320610687023
AWTEventQueue.dispatchTime90PNs,1787739015720000000,1787739075749000000,8650751
NonBlockingReadAction.failedExecutionsCount,1787739015720000000,1787739075749000000,3
NonBlockingReadAction.finalizedExecutionsCount,1787739015720000000,1787739075749000000,97
AWTEventQueue.dispatchTimeMaxNs,1787739015720000000,1787739075749000000,1426063359
FlushQueue.queueSize90P,1787739015720000000,1787739075749000000,88
FilePageCache.disposedBuffers,1787739015720000000,1787739075749000000,3
FilePageCache.pageLoads,1787739015720000000,1787739075749000000,257
StorageLockContext.competingThreads.max,1787739015720000000,1787739075749000000,0
DirectByteBufferAllocator.misses,1787739015720000000,1787739075749000000,254
StreamlinedBlobStorage.recordsAllocated,1787739015720000000,1787739075749000000,11136
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787739015720000000,1787739075749000000,0
StreamlinedBlobStorage.recordsRelocated,1787739015720000000,1787739075749000000,0
StreamlinedBlobStorage.recordsDeleted,1787739015720000000,1787739075749000000,32
DirectByteBufferAllocator.hits,1787739015720000000,1787739075749000000,3
StorageLockContext.competingThreads.90P,1787739015720000000,1787739075749000000,0
FilePageCache.maxCacheSizeInBytes,1787739015720000000,1787739075749000000,266412032
FilePageCache.totalPageLoadsUs,1787739015720000000,1787739075749000000,384677
FilePageCache.capacityInBytes,1787739015720000000,1787739075749000000,524288000
DirectByteBufferAllocator.reclaimed,1787739015720000000,1787739075749000000,3
DirectByteBufferAllocator.disposed,1787739015720000000,1787739075749000000,0
FilePageCache.pageHits,1787739015720000000,1787739075749000000,2
FilePageCache.pageLoadsAboveSizeThreshold,1787739015720000000,1787739075749000000,0
FilePageCache.maxRegisteredFiles,1787739015720000000,1787739075749000000,617
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1787739015720000000,1787739075749000000,802660
FilePageCache.uncachedFileAccess,1787739015720000000,1787739075749000000,139
StorageLockContext.competingThreads.avg,1787739015720000000,1787739075749000000,0.0
FilePageCache.pageFastCacheHits,1787739015720000000,1787739075749000000,36043
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1787739015720000000,1787739075749000000,325465
FilePageCache.totalPageDisposalsUs,1787739015720000000,1787739075749000000,11047
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787739015720000000,1787739075749000000,266412032
JVM.threadCount,1787739075749000000,1787739135749000000,65
JVM.maxNativeBytes,1787739075749000000,1787739135749000000,-1
JVM.GC.collections,1787739075749000000,1787739135749000000,3
JVM.usedNativeBytes,1787739075749000000,1787739135749000000,372523640
JVM.GC.collectionTimesMs,1787739075749000000,1787739135749000000,62
JVM.totalCpuTimeMs,1787739075749000000,1787739135749000000,35432
JVM.usedHeapBytes,1787739075749000000,1787739135749000000,227094864
OS.loadAverage,1787739075749000000,1787739135749000000,3.41845703125
JVM.maxHeapBytes,1787739075749000000,1787739135749000000,2147483648
FileNameCache.fastMisses,1787739075749000000,1787739135749000000,81
