# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1787815513214000000,1787815573273000000,7
AWTEventQueue.dispatchTimeTotalNS,1787815513214000000,1787815573273000000,32685627541
FlushQueue.tasksExecuted,1787815513214000000,1787815573273000000,1561
AWTEventQueue.dispatchTimeAvgNs,1787815513214000000,1787815573273000000,1.9422253109922756E7
FlushQueue.queueSizeMax,1787815513214000000,1787815573273000000,118
FlushQueue.executionTime90PNs,1787815513214000000,1787815573273000000,8978431
FlushQueue.waitingTimeAvgNs,1787815513214000000,1787815573273000000,8.61769361376041E8
NonBlockingReadAction.finalizedExecutionsCount,1787815513214000000,1787815573273000000,59
FlushQueue.waitingTime90PNs,1787815513214000000,1787815573273000000,2365587455
FlushQueue.executionTimeAvgNs,1787815513214000000,1787815573273000000,8745344.445227418
FlushQueue.waitingTimeMaxNs,1787815513214000000,1787815573273000000,7180648447
FlushQueue.queueSize90P,1787815513214000000,1787815573273000000,82
NonBlockingReadAction.finalizedExecutionTimeUs,1787815513214000000,1787815573273000000,13167183
FlushQueue.queueSizeAvg,1787815513214000000,1787815573273000000,28.459961563100578
FlushQueue.executionTimeMaxNs,1787815513214000000,1787815573273000000,1468006399
NonBlockingReadAction.failedExecutionTimeUs,1787815513214000000,1787815573273000000,522976
AWTEventQueue.dispatchTimeMaxNs,1787815513214000000,1787815573273000000,4429185023
AWTEventQueue.dispatchTime90PNs,1787815513214000000,1787815573273000000,27918335
AWTEventQueue.eventsDispatched,1787815513214000000,1787815573273000000,1683
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1787815513214000000,1787815573273000000,0
jps.facet.change.listener.init.bridge.ms,1787815513214000000,1787815573273000000,0
jps.save.changed.project.entities.ms,1787815513214000000,1787815573273000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1787815513214000000,1787815573273000000,104
workspaceModel.moduleManagerBridge.load.all.modules.ms,1787815513214000000,1787815573273000000,172
jps.save.global.entities.ms,1787815513214000000,1787815573273000000,0
jps.global.handle.changed.events.ms,1787815513214000000,1787815573273000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1787815513214000000,1787815573273000000,1
jps.global.get.library.ms,1787815513214000000,1787815573273000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1787815513214000000,1787815573273000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1787815513214000000,1787815573273000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1787815513214000000,1787815573273000000,1410
workspaceModel.global.apply.state.to.project.ms,1787815513214000000,1787815573273000000,50
jps.load.project.to.empty.storage.ms,1787815513214000000,1787815573273000000,916
jps.global.initialize.library.bridges.ms,1787815513214000000,1787815573273000000,0
jps.project.serializers.load.ms,1787815513214000000,1787815573273000000,305
workspaceModel.global.apply.state.to.project.builder.ms,1787815513214000000,1787815573273000000,6
workspaceModel.mutableEntityStorage.replace.by.source.ms,1787815513214000000,1787815573273000000,48
workspaceModel.delayed.project.synchronizer.sync.ms,1787815513214000000,1787815573273000000,2575
jps.storage.jps.conf.reader.load.component.ms,1787815513214000000,1787815573273000000,418
workspaceModel.moduleBridge.before.changed.ms,1787815513214000000,1787815573273000000,0
jps.global.get.library.by.name.ms,1787815513214000000,1787815573273000000,0
jps.global.get.libraries.ms,1787815513214000000,1787815573273000000,3
workspaceModel.moduleManagerBridge.build.module.graph.ms,1787815513214000000,1787815573273000000,2
jps.reload.project.entities.ms,1787815513214000000,1787815573273000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1787815513214000000,1787815573273000000,4
workspaceModel.moduleBridge.update.option.ms,1787815513214000000,1787815573273000000,0
jps.module.iml.entities.serializer.save.entities.ms,1787815513214000000,1787815573273000000,0
jps.facet.change.listener.process.change.events.ms,1787815513214000000,1787815573273000000,0
jps.project.serializers.save.ms,1787815513214000000,1787815573273000000,0
jps.artifact.entities.serializer.load.entities.ms,1787815513214000000,1787815573273000000,0
jps.app.storage.content.reader.load.component.ms,1787815513214000000,1787815573273000000,0
