# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.uncachedFileAccess,1787297563124000000,1787297623153000000,135
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1787297563124000000,1787297623153000000,257240
FilePageCache.totalPageDisposalsUs,1787297563124000000,1787297623153000000,13642
StorageLockContext.competingThreads.90P,1787297563124000000,1787297623153000000,0
DirectByteBufferAllocator.disposed,1787297563124000000,1787297623153000000,0
FilePageCache.pageFastCacheHits,1787297563124000000,1787297623153000000,24695
DirectByteBufferAllocator.reclaimed,1787297563124000000,1787297623153000000,3
StreamlinedBlobStorage.recordsDeleted,1787297563124000000,1787297623153000000,19
DirectByteBufferAllocator.misses,1787297563124000000,1787297623153000000,279
FilePageCache.pageHits,1787297563124000000,1787297623153000000,12
StorageLockContext.competingThreads.avg,1787297563124000000,1787297623153000000,0.02654867256637168
StorageLockContext.competingThreads.max,1787297563124000000,1787297623153000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787297563124000000,1787297623153000000,288464896
DirectByteBufferAllocator.hits,1787297563124000000,1787297623153000000,3
FilePageCache.maxRegisteredFiles,1787297563124000000,1787297623153000000,617
StreamlinedBlobStorage.recordsRelocated,1787297563124000000,1787297623153000000,0
FilePageCache.pageLoads,1787297563124000000,1787297623153000000,282
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1787297563124000000,1787297623153000000,528808
FilePageCache.pageLoadsAboveSizeThreshold,1787297563124000000,1787297623153000000,0
FilePageCache.maxCacheSizeInBytes,1787297563124000000,1787297623153000000,288464896
FilePageCache.disposedBuffers,1787297563124000000,1787297623153000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787297563124000000,1787297623153000000,0
FilePageCache.totalPageLoadsUs,1787297563124000000,1787297623153000000,643265
FilePageCache.capacityInBytes,1787297563124000000,1787297623153000000,524288000
