# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushesRetried,1787314653232000000,1787314713264000000,1
Indexes.stubs.lookupDurationAvgMs,1787314653232000000,1787314713264000000,4.162162162162162
VFSFlusher.totalFlushesRetried,1787314653232000000,1787314713264000000,0
VFSFlusher.totalFlushes,1787314653232000000,1787314713264000000,2
Indexes.stubs.lookups,1787314653232000000,1787314713264000000,37.0
IndexesFlusher.totalFlushingTimeUs,1787314653232000000,1787314713264000000,1328419
Indexes.entries.lookupDuration90PMs,1787314653232000000,1787314713264000000,22.0
Indexes.stubs.lookupDuration90PMs,1787314653232000000,1787314713264000000,16.0
Indexes.entries.lookupDurationMaxMs,1787314653232000000,1787314713264000000,22.0
IndexesFlusher.totalFlushes,1787314653232000000,1787314713264000000,54
Indexes.entries.lookupDurationAvgMs,1787314653232000000,1787314713264000000,10.666666666666666
VFSFlusher.totalContentionQuotaSpent,1787314653232000000,1787314713264000000,0
Indexes.entries.lookups,1787314653232000000,1787314713264000000,9.0
Indexes.allKeys.lookupDurationAvgMs,1787314653232000000,1787314713264000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1787314653232000000,1787314713264000000,45
Indexes.stubs.lookupDurationMaxMs,1787314653232000000,1787314713264000000,22.0
Indexes.allKeys.lookupDurationMaxMs,1787314653232000000,1787314713264000000,0.0
Indexes.allKeys.lookups,1787314653232000000,1787314713264000000,0.0
VFSFlusher.totalFlushingTimeUs,1787314653232000000,1787314713264000000,29154
Indexes.allKeys.lookupDuration90PMs,1787314653232000000,1787314713264000000,0.0
FlushQueue.queueSize90P,1787314653232000000,1787314713264000000,65
AWTEventQueue.dispatchTimeMaxNs,1787314653232000000,1787314713264000000,1627389951
AWTEventQueue.dispatchTimeAvgNs,1787314653232000000,1787314713264000000,4049680.4238095237
