# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1787732768661000000,1787732828681000000,335353
FileNameCache.fastMisses,1787732768661000000,1787732828681000000,19444
FileNameCache.totalMisses,1787732768661000000,1787732828681000000,7632
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1787732768661000000,1787732828681000000,0
jps.facet.change.listener.process.change.events.ms,1787732768661000000,1787732828681000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1787732768661000000,1787732828681000000,0
jps.global.get.libraries.ms,1787732768661000000,1787732828681000000,2
workspaceModel.global.updates.ms,1787732768661000000,1787732828681000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1787732768661000000,1787732828681000000,218
jps.global.get.library.by.name.ms,1787732768661000000,1787732828681000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1787732768661000000,1787732828681000000,1
jps.project.serializers.load.ms,1787732768661000000,1787732828681000000,274
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1787732768661000000,1787732828681000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1787732768661000000,1787732828681000000,1934
jps.facet.change.listener.before.change.events.ms,1787732768661000000,1787732828681000000,1
jps.app.storage.content.reader.load.component.ms,1787732768661000000,1787732828681000000,4
jps.artifact.entities.serializer.load.entities.ms,1787732768661000000,1787732828681000000,0
jps.global.initialize.library.bridges.after.loading.ms,1787732768661000000,1787732828681000000,0
jps.library.entities.serializer.save.entities.ms,1787732768661000000,1787732828681000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1787732768661000000,1787732828681000000,0
jps.global.get.library.ms,1787732768661000000,1787732828681000000,0
workspaceModel.mutableEntityStorage.entities.ms,1787732768661000000,1787732828681000000,0
jps.reload.project.entities.ms,1787732768661000000,1787732828681000000,0
jps.global.handle.changed.events.ms,1787732768661000000,1787732828681000000,0
jps.save.global.entities.ms,1787732768661000000,1787732828681000000,0
jps.project.serializers.save.ms,1787732768661000000,1787732828681000000,0
jps.save.changed.project.entities.ms,1787732768661000000,1787732828681000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1787732768661000000,1787732828681000000,1383
workspaceModel.sync.entities.ms,1787732768661000000,1787732828681000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1787732768661000000,1787732828681000000,0
jps.global.handle.before.change.events.ms,1787732768661000000,1787732828681000000,0
workspaceModel.orphan.listener.update.ms,1787732768661000000,1787732828681000000,4
workspaceModel.moduleBridge.before.changed.ms,1787732768661000000,1787732828681000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1787732768661000000,1787732828681000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1787732768661000000,1787732828681000000,0
jps.storage.jps.conf.reader.load.component.ms,1787732768661000000,1787732828681000000,284
jps.load.project.to.empty.storage.ms,1787732768661000000,1787732828681000000,436
jps.library.entities.serializer.load.entities.ms,1787732768661000000,1787732828681000000,275
workspaceModel.global.apply.state.to.project.ms,1787732768661000000,1787732828681000000,52
workspaceModel.mutableEntityStorage.add.diff.ms,1787732768661000000,1787732828681000000,92
workspaceModel.moduleManagerBridge.load.all.modules.ms,1787732768661000000,1787732828681000000,185
jps.module.iml.entities.serializer.save.entities.ms,1787732768661000000,1787732828681000000,0
workspaceModel.save.cache.to.file.ms,1787732768661000000,1787732828681000000,1128
jps.module.iml.entities.serializer.load.entities.ms,1787732768661000000,1787732828681000000,263
workspaceModel.mutableEntityStorage.put.entity.ms,1787732768661000000,1787732828681000000,92
workspaceModel.moduleBridge.update.option.ms,1787732768661000000,1787732828681000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1787732768661000000,1787732828681000000,51
workspaceModel.mutableEntityStorage.modify.entity.ms,1787732768661000000,1787732828681000000,36
workspaceModel.mutableEntityStorage.to.snapshot.ms,1787732768661000000,1787732828681000000,5
workspaceModel.moduleBridge.facet.initialization.ms,1787732768661000000,1787732828681000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1787732768661000000,1787732828681000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1787732768661000000,1787732828681000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1787732768661000000,1787732828681000000,1
jps.load.initial.state.ms,1787732768661000000,1787732828681000000,24
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1787732768661000000,1787732828681000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1787732768661000000,1787732828681000000,1
jps.apply.loaded.storage.ms,1787732768661000000,1787732828681000000,1480
jps.artifact.entities.serializer.save.entities.ms,1787732768661000000,1787732828681000000,0
