# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.storage.jps.conf.reader.load.component.ms,1787733652213000000,1787733712242000000,305
workspaceModel.moduleManagerBridge.get.modules.ms,1787733652213000000,1787733712242000000,5
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1787733652213000000,1787733712242000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1787733652213000000,1787733712242000000,56
workspaceModel.mutableEntityStorage.entities.ms,1787733652213000000,1787733712242000000,2
jps.global.get.libraries.ms,1787733652213000000,1787733712242000000,6
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1787733652213000000,1787733712242000000,3
workspaceModel.moduleBridgeLoader.loading.modules.ms,1787733652213000000,1787733712242000000,1464
jps.load.project.to.empty.storage.ms,1787733652213000000,1787733712242000000,403
workspaceModel.mutableEntityStorage.replace.by.source.ms,1787733652213000000,1787733712242000000,37
workspaceModel.moduleBridge.before.changed.ms,1787733652213000000,1787733712242000000,0
workspaceModel.save.cache.to.file.ms,1787733652213000000,1787733712242000000,1383
jps.global.get.library.ms,1787733652213000000,1787733712242000000,0
workspaceModel.sync.entities.ms,1787733652213000000,1787733712242000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1787733652213000000,1787733712242000000,1
jps.facet.change.listener.process.change.events.ms,1787733652213000000,1787733712242000000,0
jps.apply.loaded.storage.ms,1787733652213000000,1787733712242000000,305
jps.facet.change.listener.init.bridge.ms,1787733652213000000,1787733712242000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1787733652213000000,1787733712242000000,2
workspaceModel.global.apply.state.to.project.ms,1787733652213000000,1787733712242000000,59
workspaceModel.load.cache.from.file.ms,1787733652213000000,1787733712242000000,397
workspaceModel.mutableEntityStorage.to.snapshot.ms,1787733652213000000,1787733712242000000,5
jps.global.handle.before.change.events.ms,1787733652213000000,1787733712242000000,0
jps.load.initial.state.ms,1787733652213000000,1787733712242000000,21
jps.library.entities.serializer.load.entities.ms,1787733652213000000,1787733712242000000,254
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1787733652213000000,1787733712242000000,0
jps.global.initialize.library.bridges.ms,1787733652213000000,1787733712242000000,0
jps.reload.project.entities.ms,1787733652213000000,1787733712242000000,0
jps.app.storage.content.writer.save.component.ms,1787733652213000000,1787733712242000000,0
jps.app.storage.content.reader.load.component.ms,1787733652213000000,1787733712242000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1787733652213000000,1787733712242000000,0
workspaceModel.global.updates.count,1787733652213000000,1787733712242000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1787733652213000000,1787733712242000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1787733652213000000,1787733712242000000,714
workspaceModel.moduleManagerBridge.newModule.ms,1787733652213000000,1787733712242000000,0
jps.module.iml.entities.serializer.load.entities.ms,1787733652213000000,1787733712242000000,274
jps.artifact.entities.serializer.load.entities.ms,1787733652213000000,1787733712242000000,0
workspaceModel.moduleBridge.update.option.ms,1787733652213000000,1787733712242000000,0
jps.project.serializers.load.ms,1787733652213000000,1787733712242000000,226
workspaceModel.orphan.listener.update.ms,1787733652213000000,1787733712242000000,4
jps.save.global.entities.ms,1787733652213000000,1787733712242000000,85
workspaceModel.moduleManagerBridge.load.all.modules.ms,1787733652213000000,1787733712242000000,178
workspaceModel.mutableEntityStorage.collect.changes.ms,1787733652213000000,1787733712242000000,0
workspaceModel.global.updates.ms,1787733652213000000,1787733712242000000,0
jps.module.iml.entities.serializer.save.entities.ms,1787733652213000000,1787733712242000000,0
jps.global.handle.changed.events.ms,1787733652213000000,1787733712242000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1787733652213000000,1787733712242000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1787733652213000000,1787733712242000000,72
jps.library.entities.serializer.save.entities.ms,1787733652213000000,1787733712242000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1787733652213000000,1787733712242000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1787733652213000000,1787733712242000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1787733652213000000,1787733712242000000,0
jps.global.initialize.library.bridges.after.loading.ms,1787733652213000000,1787733712242000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1787733652213000000,1787733712242000000,0
jps.facet.change.listener.before.change.events.ms,1787733652213000000,1787733712242000000,0
jps.save.changed.project.entities.ms,1787733652213000000,1787733712242000000,2
jps.global.get.library.by.name.ms,1787733652213000000,1787733712242000000,0
jps.artifact.entities.serializer.save.entities.ms,1787733652213000000,1787733712242000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1787733652213000000,1787733712242000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1787733652213000000,1787733712242000000,21
jps.project.serializers.save.ms,1787733652213000000,1787733712242000000,2
workspaceModel.moduleBridge.facet.initialization.ms,1787733652213000000,1787733712242000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1787733652213000000,1787733712242000000,206
Indexes.entries.lookupDurationMaxMs,1787733652213000000,1787733712242000000,60.0
IndexesFlusher.totalContentionQuotaSpent,1787733652213000000,1787733712242000000,84
Indexes.entries.lookups,1787733652213000000,1787733712242000000,52.0
Indexes.stubs.lookupDurationAvgMs,1787733652213000000,1787733712242000000,6.826086956521739
Indexes.allKeys.lookupDurationAvgMs,1787733652213000000,1787733712242000000,0.0
Indexes.allKeys.lookups,1787733652213000000,1787733712242000000,0.0
IndexesFlusher.totalFlushesRetried,1787733652213000000,1787733712242000000,3
IndexesFlusher.totalFlushes,1787733652213000000,1787733712242000000,189
Indexes.stubs.lookupDuration90PMs,1787733652213000000,1787733712242000000,24.0
IndexesFlusher.totalFlushingTimeUs,1787733652213000000,1787733712242000000,2577669
Indexes.allKeys.lookupDurationMaxMs,1787733652213000000,1787733712242000000,0.0
Indexes.stubs.lookupDurationMaxMs,1787733652213000000,1787733712242000000,40.0
Indexes.allKeys.lookupDuration90PMs,1787733652213000000,1787733712242000000,0.0
VFSFlusher.totalFlushingTimeUs,1787733652213000000,1787733712242000000,59690
Indexes.entries.lookupDurationAvgMs,1787733652213000000,1787733712242000000,5.230769230769231
Indexes.stubs.lookups,1787733652213000000,1787733712242000000,46.0
VFSFlusher.totalFlushesRetried,1787733652213000000,1787733712242000000,0
VFSFlusher.totalContentionQuotaSpent,1787733652213000000,1787733712242000000,0
VFSFlusher.totalFlushes,1787733652213000000,1787733712242000000,4
Indexes.entries.lookupDuration90PMs,1787733652213000000,1787733712242000000,25.0
FlushQueue.tasksExecuted,1787733652213000000,1787733712242000000,1848
NonBlockingReadAction.finalizedExecutionTimeUs,1787733652213000000,1787733712242000000,4224652
AWTEventQueue.dispatchTimeMaxNs,1787733652213000000,1787733712242000000,2164260863
FlushQueue.waitingTimeMaxNs,1787733652213000000,1787733712242000000,4009754623
FlushQueue.queueSizeAvg,1787733652213000000,1787733712242000000,27.99621212121212
FlushQueue.queueSize90P,1787733652213000000,1787733712242000000,72
FlushQueue.executionTime90PNs,1787733652213000000,1787733712242000000,6848511
AWTEventQueue.dispatchTime90PNs,1787733652213000000,1787733712242000000,8257535
NonBlockingReadAction.finalizedExecutionsCount,1787733652213000000,1787733712242000000,56
AWTEventQueue.eventsDispatched,1787733652213000000,1787733712242000000,5328
FlushQueue.queueSizeMax,1787733652213000000,1787733712242000000,117
AWTEventQueue.dispatchTimeTotalNS,1787733652213000000,1787733712242000000,35031625812
FlushQueue.executionTimeMaxNs,1787733652213000000,1787733712242000000,2164260863
