# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1787295133234000000,1787295193244000000,94
StorageLockContext.competingThreads.90P,1787295133234000000,1787295193244000000,0
FilePageCache.disposedBuffers,1787295133234000000,1787295193244000000,5
FilePageCache.pageLoadsAboveSizeThreshold,1787295133234000000,1787295193244000000,0
StreamlinedBlobStorage.recordsDeleted,1787295133234000000,1787295193244000000,0
FilePageCache.capacityInBytes,1787295133234000000,1787295193244000000,524288000
FilePageCache.pageFastCacheHits,1787295133234000000,1787295193244000000,15611
FilePageCache.totalPageDisposalsUs,1787295133234000000,1787295193244000000,3959
StorageLockContext.competingThreads.max,1787295133234000000,1787295193244000000,11
StorageLockContext.competingThreads.avg,1787295133234000000,1787295193244000000,0.10714285714285714
FilePageCache.maxCacheSizeInBytes,1787295133234000000,1787295193244000000,244350976
FilePageCache.totalPageLoadsUs,1787295133234000000,1787295193244000000,210622
FilePageCache.pageLoads,1787295133234000000,1787295193244000000,233
FilePageCache.pageHits,1787295133234000000,1787295193244000000,0
StreamlinedBlobStorage.recordsRelocated,1787295133234000000,1787295193244000000,0
DirectByteBufferAllocator.hits,1787295133234000000,1787295193244000000,5
FilePageCache.uncachedFileAccess,1787295133234000000,1787295193244000000,369
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787295133234000000,1787295193244000000,244350976
StreamlinedBlobStorage.recordsAllocated,1787295133234000000,1787295193244000000,13
DirectByteBufferAllocator.disposed,1787295133234000000,1787295193244000000,0
FilePageCache.maxRegisteredFiles,1787295133234000000,1787295193244000000,836
DirectByteBufferAllocator.misses,1787295133234000000,1787295193244000000,228
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1787295133234000000,1787295193244000000,910
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787295133234000000,1787295193244000000,0
DirectByteBufferAllocator.reclaimed,1787295133234000000,1787295193244000000,5
FileNameCache.fastMisses,1787295133234000000,1787295193244000000,14
FileNameCache.queries,1787295133234000000,1787295193244000000,410
FileNameCache.totalMisses,1787295133234000000,1787295193244000000,14
FlushQueue.waitingTimeAvgNs,1787295133234000000,1787295193244000000,2.070604058181818E8
AWTEventQueue.dispatchTimeTotalNS,1787295133234000000,1787295193244000000,13211061736
AWTEventQueue.dispatchTime90PNs,1787295133234000000,1787295193244000000,2883583
AWTEventQueue.eventsDispatched,1787295133234000000,1787295193244000000,4462
FlushQueue.tasksExecuted,1787295133234000000,1787295193244000000,264
AWTEventQueue.dispatchTimeAvgNs,1787295133234000000,1787295193244000000,2958131.2917974005
FlushQueue.executionTimeAvgNs,1787295133234000000,1787295193244000000,1.8355346939393938E7
FlushQueue.queueSizeMax,1787295133234000000,1787295193244000000,22
FlushQueue.waitingTime90PNs,1787295133234000000,1787295193244000000,478150655
FlushQueue.waitingTimeMaxNs,1787295133234000000,1787295193244000000,3003121663
FlushQueue.queueSizeAvg,1787295133234000000,1787295193244000000,2.6893939393939394
FlushQueue.queueSize90P,1787295133234000000,1787295193244000000,12
AWTEventQueue.dispatchTimeMaxNs,1787295133234000000,1787295193244000000,2415919103
FlushQueue.executionTimeMaxNs,1787295133234000000,1787295193244000000,2415919103
FlushQueue.executionTime90PNs,1787295133234000000,1787295193244000000,6717439
IndexesFlusher.totalFlushesRetried,1787295133234000000,1787295193244000000,0
IndexesFlusher.totalContentionQuotaSpent,1787295133234000000,1787295193244000000,0
IndexesFlusher.totalFlushes,1787295133234000000,1787295193244000000,63
VFSFlusher.totalFlushes,1787295133234000000,1787295193244000000,2
VFSFlusher.totalFlushingTimeUs,1787295133234000000,1787295193244000000,70196
VFSFlusher.totalContentionQuotaSpent,1787295133234000000,1787295193244000000,0
VFSFlusher.totalFlushesRetried,1787295133234000000,1787295193244000000,0
IndexesFlusher.totalFlushingTimeUs,1787295133234000000,1787295193244000000,1168529
jps.load.initial.state.ms,1787295133234000000,1787295193244000000,16
workspaceModel.moduleManagerBridge.get.modules.ms,1787295133234000000,1787295193244000000,2
workspaceModel.moduleManagerBridge.load.module.ms,1787295133234000000,1787295193244000000,0
jps.library.entities.serializer.load.entities.ms,1787295133234000000,1787295193244000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1787295133234000000,1787295193244000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1787295133234000000,1787295193244000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1787295133234000000,1787295193244000000,0
jps.global.handle.changed.events.ms,1787295133234000000,1787295193244000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1787295133234000000,1787295193244000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1787295133234000000,1787295193244000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1787295133234000000,1787295193244000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1787295133234000000,1787295193244000000,0
workspaceModel.global.apply.state.to.project.ms,1787295133234000000,1787295193244000000,0
jps.global.get.library.ms,1787295133234000000,1787295193244000000,0
jps.library.entities.serializer.save.entities.ms,1787295133234000000,1787295193244000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1787295133234000000,1787295193244000000,0
jps.app.storage.content.writer.save.component.ms,1787295133234000000,1787295193244000000,0
jps.save.global.entities.ms,1787295133234000000,1787295193244000000,35
workspaceModel.global.updates.count,1787295133234000000,1787295193244000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1787295133234000000,1787295193244000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1787295133234000000,1787295193244000000,0
workspaceModel.global.updates.ms,1787295133234000000,1787295193244000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1787295133234000000,1787295193244000000,0
jps.global.initialize.library.bridges.ms,1787295133234000000,1787295193244000000,0
workspaceModel.sync.entities.ms,1787295133234000000,1787295193244000000,0
