# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.initializing.ms,1787734320002000000,1787734380031000000,3
workspaceModel.updates.precise.ms,1787734320002000000,1787734380031000000,289
workspaceModel.update.unloaded.entities.ms,1787734320002000000,1787734380031000000,0
workspaceModel.loading.from.cache.ms,1787734320002000000,1787734380031000000,302
workspaceModel.check.recursive.update.ms,1787734320002000000,1787734380031000000,2
workspaceModel.pre.handlers.ms,1787734320002000000,1787734380031000000,0
workspaceModel.replace.project.model.ms,1787734320002000000,1787734380031000000,0
workspaceModel.updates.count,1787734320002000000,1787734380031000000,5
workspaceModel.updates.ms,1787734320002000000,1787734380031000000,396
workspaceModel.collect.changes.ms,1787734320002000000,1787734380031000000,0
workspaceModel.to.snapshot.ms,1787734320002000000,1787734380031000000,11
workspaceModel.init.bridges.ms,1787734320002000000,1787734380031000000,3
workspaceModel.loading.total.ms,1787734320002000000,1787734380031000000,318
FileNameCache.queries,1787734320002000000,1787734380031000000,333427
FileNameCache.fastMisses,1787734320002000000,1787734380031000000,19349
FileNameCache.totalMisses,1787734320002000000,1787734380031000000,7634
JVM.maxHeapBytes,1787734320002000000,1787734380031000000,2147483648
JVM.threadCount,1787734320002000000,1787734380031000000,138
JVM.maxNativeBytes,1787734320002000000,1787734380031000000,-1
JVM.totalCpuTimeMs,1787734320002000000,1787734380031000000,111353
JVM.GC.collectionTimesMs,1787734320002000000,1787734380031000000,414
JVM.GC.collections,1787734320002000000,1787734380031000000,32
OS.loadAverage,1787734320002000000,1787734380031000000,6.63427734375
JVM.usedNativeBytes,1787734320002000000,1787734380031000000,359412568
JVM.usedHeapBytes,1787734320002000000,1787734380031000000,283376536
FilePageCache.totalPageLoadsUs,1787734320002000000,1787734380031000000,543355
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1787734320002000000,1787734380031000000,802660
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787734320002000000,1787734380031000000,291569664
StorageLockContext.competingThreads.90P,1787734320002000000,1787734380031000000,0
DirectByteBufferAllocator.disposed,1787734320002000000,1787734380031000000,0
FilePageCache.maxCacheSizeInBytes,1787734320002000000,1787734380031000000,291569664
StorageLockContext.competingThreads.avg,1787734320002000000,1787734380031000000,0.07079646017699115
DirectByteBufferAllocator.reclaimed,1787734320002000000,1787734380031000000,3
DirectByteBufferAllocator.hits,1787734320002000000,1787734380031000000,3
FilePageCache.pageFastCacheHits,1787734320002000000,1787734380031000000,34257
FilePageCache.pageLoads,1787734320002000000,1787734380031000000,280
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1787734320002000000,1787734380031000000,325465
StreamlinedBlobStorage.recordsAllocated,1787734320002000000,1787734380031000000,11136
